source,target
16,"11363, 15681, 4145, 38, 19, 34, 18, 41, 4113, 4048, 3680, 3660, 106, 17, 4047, 479, 10780, 5201, 5238, 18881, 5355, 498, 11363, 15681, 11017, 11054, 11018, 10760, 11341, 11353, 15229, 11330, 11334, 11337, 15580, 169, 10786, 11196, 11370, 11113, 10805, 11644, 11382, 11046, 11731, 10824, 11659, 11114, 11397"
17,"11014, 10535, 10949, 10961, 18, 4133, 2201, 3660"
18,"11813, 11814, 11815, 11816, 11819, 11011, 11817, 11818, 11002, 11014, 10535"
19,"11016, 11289, 11047, 11313, 11295, 11151, 11267, 11019, 11269, 11279, 11270, 11113, 11035, 11038, 405, 11240, 19840, 11326, 11013, 11162, 11062, 11050, 12154"
20,NA
21,"108, 56, 28, 16"
22,"17, 34, 5304, 11046, 11017, 4097, 11618, 11353"
23,"19, 17, 18253, 11341, 4026, 4097, 11112, 10695, 15165, 10694, 11382, 5152, 11609, 11027, 10883, 11113, 11114, 11397, 11405, 4087, 10858, 11337, 11334, 10867, 19856, 11196, 10866, 11020, 11044"
24,"2, 3, 50, 4052, 18, 400, 5144, 11113, 11027, 11196, 3680, 11046"
25,"18946, 5, 18, 34, 38, 17, 41, 5133, 108, 3660, 4145, 11353, 11354, 4046, 11609, 11400, 5375, 15950, 10600, 19064, 11003"
26,NA
27,"4057, 3048, 17, 398, 1798, 405, 11027, 11002, 11046, 11313, 10561, 11058"
28,"29, 11452, 11046, 11113, 10870, 10867, 10511, 11221, 19817"
29,"19, 405, 912, 11018, 11002, 4097, 11677, 11332, 10561, 11337, 11342, 11246, 11510, 18924"
30,"18183, 53, 19845, 11442, 18547, 4097, 11023, 11035, 11313, 19883"
31,"30, 11045, 19506, 15816, 11442, 11052, 11023, 11511, 10933"
32,"17, 41, 29, 18, 955, 5115, 19, 34, 3660, 5152, 11026, 19310, 11353, 11018, 169, 11620, 11054, 11046, 11382, 11722, 3640, 11027, 19921, 19302, 11020, 11196"
33,"400, 393, 3625, 17, 1945"
34,"11192, 12366, 11192, 11002, 1830, 11263, 11081, 11442, 11085, 11048, 10721, 11231, 11510, 11156, 11167, 11342, 11556, 11016, 11161, 11169, 11856, 11103, 11052, 1131, 1134, 10938, 11521, 11029, 10511, 11028, 10612, 11665"
35,"157, 158, 172, 17, 11002, 15659, 11016, 18839"
36,NA
37,"87, 18090, 1935, 10878, 11027, 11237, 19237, 11348, 10567, 4097, 11174, 11341, 10920, 11017, 17054, 11002, 19921, 19940, 11035, 11221, 10835"
38,"11879, 3154, 17, 18, 34, 49, 15659, 1830, 11002, 3680, 3660, 11029, 11020, 11206, 11260, 11829, 17107, 10752, 11420, 10561, 10567, 10762, 11694, 10554, 2230, 11167, 11253, 11598, 11366, 11202, 11514, 11877, 11259, 11603, 11023, 1544, 11302, 11036, 11014, 11232, 11028, 11442, 11212, 10938, 11113, 11451, 11161, 11297, 10721, 13429, 18767"
39,"3, 13, 3319, 17, 33, 383, 399, 41, 1220, 1221, 1222, 136, 90, 118"
40,"631, 19161, 12201, 18030, 19, 34, 323, 722, 5071, 4048, 5152, 1935, 5278"
41,"409, 11900, 11901, 11902, 5392, 19, 38, 3680, 11359, 11337, 11341, 11259, 10805, 11114, 11002, 11113, 11046, 11226, 15681, 18984, 11660, 11391, 10676, 11334, 11589, 11353, 11693, 11054, 11055"
42,NA
43,"11820, 11204, 11717, 11003"
44,NA
45,"38, 19, 1937, 390, 53, 11196, 11213, 15097"
46,NA
47,"10615, 12245, 11002, 11196, 11239"
48,"274, 13, 17, 19, 11196, 11046, 10511, 11020, 11163, 11023, 10990, 10567"
49,"13, 17, 18, 38, 19, 858, 11002, 11006, 11007, 11005, 11008, 10535, 10511, 10582"
50,"12446, 12052, 17, 13, 10511, 11113, 10581, 11353, 10554, 10511, 11016, 18293"
51,NA
52,"17, 10633"
53,"70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10521, 10522, 11002"
54,"18, 11818, 11811, 1293, 5295, 4109, 10773, 487, 18400, 448, 11394, 11313"
55,NA
56,"244, 246, 2086, 19824, 11005, 10511, 19004, 11864, 19067, 438, 19466, 10737, 50, 11734, 2808, 11113, 10561, 10567, 11002, 11353, 11052, 107, 448, 11030, 11003, 11211, 5232, 11014, 13144"
57,"244, 59, 413, 18881"
58,"17, 11203, 11730, 11028, 11211, 18881, 169"
59,"27, 139, 244, 10511, 11716, 12236"
60,"19441, 18885, 11045, 18989, 19898"
61,17
62,NA
63,"30, 31, 5, 53, 56, 19, 171"
64,NA
65,NA
66,NA
67,NA
68,NA
69,"108, 10535, 17"
70,"106, 10511, 11250, 11699, 10926, 10526, 11188, 11231, 2802, 18"
71,"19, 11035, 11039, 11368, 18043, 11375, 19549"
72,NA
73,NA
74,NA
75,NA
76,"9, 11002, 10511, 11010, 11222"
77,NA
78,NA
79,"639, 11023"
80,NA
81,NA
82,3154
83,"19, 17, 12401, 10567"
84,"12498, 11044, 17066"
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,"10560, 10561, 10562"
96,NA
97,NA
98,NA
99,NA
100,"17, 133, 524, 5030, 11112, 11059, 10554, 912, 10646, 11221"
101,56
102,NA
103,"6447, 5335, 28139, 1716, 10805, 13, 4026, 11609, 11901, 11212, 1503, 11020"
104,10605
105,NA
106,"13769, 13930, 18256, 11178, 11250, 16836, 19554, 10511"
107,"10520, 10521, 10535, 11437, 11113, 19823, 11196, 11090"
108,"18041, 18023, 19017, 19534, 10535, 10511, 11010, 19534, 169, 18183, 12246, 11442, 10754, 19830, 11063, 11308, 11090"
109,NA
110,NA
111,NA
112,NA
113,"19, 10567, 1461, 1463, 1462, 11689, 12372, 11697, 11885"
114,NA
115,"1708, 18, 11011, 11014, 1131, 20395, 11258"
116,"27, 11046"
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,"19073, 11114, 11440, 11334, 11305, 11318, 10677, 11589, 11693, 11865, 11432, 11035, 11016, 10735, 11617, 10736, 11284, 10721"
124,NA
125,NA
126,NA
127,NA
128,11049
130,"10883, 10878, 18410, 19909, 4097, 5152, 18561, 11027"
131,NA
132,"274, 11538, 10561, 10511"
133,"11434, 11005, 11029, 11035"
134,NA
135,"17, 13, 11005, 128, 174, 18496, 11532, 5273, 11211, 11052, 11029"
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,"15680, 15789"
146,NA
147,NA
148,NA
149,"4048, 2230, 5130, 11046, 11018, 11017, 11353, 19801, 15691, 15692, 11052"
150,740
151,"169, 10647, 11827"
152,NA
153,NA
154,NA
155,NA
156,"17, 527, 11532, 19, 15453, 912, 11211"
157,405
158,12148
160,NA
161,NA
162,NA
163,"5, 19, 880, 11400, 11005, 10915, 11196, 4097, 11895, 11116"
164,NA
165,"18938, 12246, 11029, 11161, 579, 11016, 11443"
166,"11373, 10903, 15374, 11402, 3225, 2201, 11046, 11018, 11059, 11052, 10511, 18813, 5232, 10798, 11267, 11339, 11620, 15051, 10801, 10567, 11376, 11660, 11284"
167,"2201, 1822, 11901, 5232, 11197, 18448, 10511"
168,10535
169,"11063, 11352, 11396, 11069, 11423, 11053, 11221, 15664, 11076"
170,NA
171,12329
172,"19, 11196, 5004, 11644, 11052, 15368, 10511, 10834, 10863, 11219"
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,169
182,"18430, 18446, 16848, 18, 34, 584, 11416, 11196, 4058, 11002, 12174, 18313"
183,NA
184,NA
185,NA
186,NA
187,"34, 11002, 10511, 11044"
188,NA
189,"4048, 17, 11046, 4097, 10893, 16027, 11334, 10851, 10867, 10870, 11410, 16099, 11027, 16021, 19940"
190,NA
191,NA
192,"10994, 11004, 10511, 11003"
193,NA
194,NA
195,NA
196,NA
197,NA
198,"11237, 19899, 18124, 19141, 778, 912, 11513, 11052, 11196, 11029, 11211, 11028, 10511, 18937"
199,NA
200,"11027, 10899, 19909, 17023, 19299"
201,NA
202,"19, 10905, 11552"
203,NA
204,"11353, 1546, 10567, 11005"
205,11013
206,"17304, 10681, 14183, 10710, 11016, 5234, 11667"
207,NA
208,NA
209,"19, 11714, 12606, 11020"
210,NA
211,579
212,"3119, 10894, 11332, 11651, 19879, 11052, 15048, 11050, 19896, 15264"
213,"19, 169, 11337, 10826, 11196, 17331, 11347"
214,11006
215,NA
216,"912, 11313"
217,NA
218,"17094, 17337"
219,NA
220,NA
221,NA
222,NA
223,NA
224,"10535, 13389, 10567, 11002, 10511, 11054, 11005, 10939, 11218, 11052, 18631"
225,"27, 10894, 11016, 11050, 10770, 11368"
226,NA
227,"19028, 19527, 11290, 11574, 11113, 11424, 10713, 13463, 18490, 11617, 14242"
228,NA
229,"19, 17, 422, 3625, 11004, 3195, 11151"
230,NA
231,NA
232,NA
233,"11100, 38, 1830, 11202"
234,NA
235,NA
236,NA
237,"11152, 11450, 11519, 11156, 11163"
238,858
239,"291, 292, 293, 294, 295, 19, 11196"
240,NA
241,NA
242,"18173, 880, 11501"
243,NA
244,"10994, 10511, 10567, 11157, 11204"
245,NA
246,"18947, 405, 11002, 10511, 11269, 11029, 18860, 11870, 11231"
247,NA
248,"11116, 17, 53, 11002, 10511, 11197"
249,NA
250,NA
251,"19, 5278, 11502, 10630"
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,"11538, 12704, 11837, 11052, 11004, 10511, 11049, 11047, 10968, 11342, 10561, 11332, 10770, 10808, 14373, 18019"
275,NA
276,NA
277,"1600, 18427, 11020, 11221, 11518"
278,11005
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,"12675, 28657, 11013"
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,"19828, 11554, 325, 11710"
324,NA
325,"11710, 12582"
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,1238
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,"18, 17, 13, 19, 11284, 17145, 19811, 11206, 11044, 5152"
383,"11049, 11316, 11372, 15312, 11392"
384,"19, 3660, 11310, 11113, 15580, 11256, 11049, 11221, 11053, 11633, 11293, 11196, 10811"
385,NA
386,NA
387,NA
388,"11221, 10617, 11253, 16032, 19519"
389,"12606, 11578, 19913, 5152, 5278, 1830, 10917, 10883"
390,"1131, 1132, 1133, 1134, 12483, 11519, 17, 34, 4048, 11897, 11898, 10601, 10948, 11442"
391,"19, 34, 11806, 11804, 11224, 1544, 11865, 1134, 10567, 10697, 11035, 11726, 1155, 11020, 11048"
392,393
393,"10770, 10894, 10896, 11649, 11368, 15097, 11049"
394,"11432, 15166, 10761, 10835, 11440, 11196, 10721, 19841, 11016"
395,NA
396,NA
397,NA
398,"16067, 16165, 16470, 10867, 11704, 10870"
399,"11013, 11172, 16109, 16112, 18533, 16080"
400,"1945, 4047, 15635, 10795, 15138, 12093, 14981, 11196, 11372, 11049, 3117, 1820, 11900"
401,NA
402,"1945, 11353, 11017, 11046, 11055, 11405, 10805, 10744, 11003"
403,"405, 11353, 11004, 11203, 11570, 19476, 11196"
404,"405, 11004, 19817, 12552"
405,"11013, 18893, 11857, 19803, 11889, 11062, 11184"
406,405
407,NA
408,18480
409,"11052, 11378"
410,"19817, 34, 12378, 11382, 10557, 19307, 11196, 11020"
411,NA
412,NA
413,"18007, 19356"
414,10511
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,"11151, 12015, 10603, 10984, 11868, 12571"
423,13506
424,NA
425,"819, 19"
426,NA
427,NA
428,NA
429,"17506, 16101, 169, 11221, 11052"
430,NA
431,NA
432,NA
433,NA
434,"4097, 10511"
435,NA
436,NA
437,NA
438,"18774, 19846, 10696, 11011, 11366, 11016"
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,5335
447,NA
448,"11003, 11030, 11034, 11023, 166, 11446, 10625, 11052"
449,"487, 488, 13005, 10920, 11002, 11029, 11053, 11023, 13523"
450,NA
451,"29406, 12272, 12517"
452,"400, 11002, 10567, 10990, 11006, 10625"
453,NA
454,NA
455,"11342, 10766"
456,NA
457,NA
458,NA
459,"11190, 11011, 19144"
460,NA
461,NA
462,NA
463,455
464,"10567, 5262, 11842, 11225"
465,NA
466,"11049, 11432, 11052, 15502, 11656"
467,NA
468,NA
469,NA
470,NA
471,"34, 17, 29, 11002, 11053, 11029, 10870, 11016, 3137, 11704"
472,NA
473,NA
474,NA
475,NA
476,"11199, 11232, 11442"
477,NA
478,NA
479,"3712, 3713, 3714, 11199, 3710, 11045, 11212, 11005, 11020, 10632, 10952, 18197, 16225, 11101"
480,NA
481,NA
482,NA
483,NA
484,NA
485,"11353, 11052, 11046, 12301, 15333, 10964, 15660, 11049"
486,NA
487,"10634, 11081, 11262, 11313, 11013, 11264"
488,11090
489,NA
490,NA
491,NA
492,NA
493,NA
494,NA
495,NA
496,NA
497,NA
498,NA
499,NA
500,NA
501,NA
502,NA
503,NA
504,NA
505,NA
506,NA
507,NA
508,NA
509,NA
510,NA
511,NA
512,NA
513,NA
514,NA
515,NA
516,NA
517,NA
518,NA
519,NA
520,NA
521,NA
522,NA
523,NA
524,"11197, 11013"
525,NA
526,NA
527,NA
528,NA
529,NA
530,NA
531,NA
532,NA
533,NA
534,NA
535,NA
536,NA
537,NA
538,NA
539,NA
540,NA
541,NA
542,NA
543,NA
544,NA
545,NA
546,NA
547,NA
548,NA
549,NA
550,NA
551,NA
552,NA
553,NA
554,NA
555,"11052, 19801"
556,NA
557,NA
558,NA
559,NA
560,NA
561,NA
562,NA
563,"11420, 19109, 10511"
564,NA
565,NA
567,"15, 708, 18, 70"
568,NA
570,NA
571,NA
572,NA
573,NA
574,NA
575,NA
576,NA
577,NA
578,"11827, 11723, 15178"
579,"29713, 21278, 18029, 11863, 11069, 11524, 10766"
580,NA
581,NA
582,"10573, 10574"
583,NA
584,"11063, 11064, 11013"
585,NA
586,"3048, 13, 29306, 10772, 18306"
587,NA
588,NA
589,NA
590,NA
591,NA
592,NA
593,NA
594,NA
595,NA
596,NA
597,NA
598,"11180, 11049, 10808, 11674, 11019, 11013, 11411"
599,NA
600,NA
601,NA
602,NA
603,NA
604,NA
605,"639, 11002, 11232, 11451"
606,639
607,NA
608,NA
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,NA
616,NA
617,"11158, 11005, 11218, 10567, 11014, 19954, 12201, 12246"
618,NA
619,NA
620,NA
621,NA
622,NA
623,NA
624,NA
625,NA
626,NA
627,NA
628,NA
629,NA
630,NA
631,"12201, 11029, 11222, 11068, 11692, 11378, 11411"
632,NA
633,NA
634,NA
635,NA
636,NA
637,NA
638,NA
639,"11210, 11239, 11104, 11214, 11013, 20700, 11894, 11536, 11222, 11062"
640,NA
641,NA
642,NA
643,NA
644,NA
645,NA
646,NA
647,NA
648,NA
649,NA
650,NA
651,NA
652,NA
653,NA
654,NA
655,NA
656,NA
657,NA
658,NA
659,NA
660,NA
661,NA
662,NA
663,NA
664,NA
665,NA
666,NA
667,NA
668,NA
669,NA
670,NA
671,NA
672,NA
673,NA
674,NA
675,NA
676,NA
677,NA
678,NA
679,NA
680,NA
681,NA
682,NA
683,NA
684,NA
685,NA
686,NA
687,NA
688,NA
689,NA
690,NA
700,NA
701,NA
702,NA
703,NA
704,NA
705,NA
706,NA
707,NA
708,"709, 18, 106"
709,"11013, 11062, 19808, 13501, 10614"
710,NA
711,713
712,14434
713,"12004, 16847, 11063, 19887, 10770"
714,NA
715,NA
716,NA
717,NA
718,NA
719,NA
720,NA
721,NA
722,"5152, 17094"
723,NA
724,NA
725,NA
726,NA
727,NA
728,NA
729,NA
730,NA
731,NA
732,NA
733,NA
734,NA
735,NA
736,NA
737,NA
738,NA
739,NA
740,11509
741,NA
742,NA
743,NA
744,NA
745,NA
746,NA
747,"13502, 10567"
748,NA
749,NA
750,NA
751,NA
752,NA
753,NA
754,NA
755,NA
756,NA
757,NA
758,NA
759,NA
760,NA
761,NA
762,NA
763,NA
764,2201
765,NA
766,NA
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,NA
774,NA
775,NA
776,"778, 19, 10646, 11010, 11014"
777,778
778,NA
779,NA
780,NA
781,NA
782,NA
783,"11002, 17107, 10865"
784,NA
785,NA
786,NA
787,NA
788,NA
789,NA
790,NA
791,NA
792,NA
793,NA
794,NA
795,NA
796,NA
797,NA
798,NA
799,NA
800,NA
801,NA
802,NA
803,NA
804,NA
805,NA
806,NA
807,NA
808,"13, 16, 809"
809,NA
810,NA
811,NA
812,NA
813,NA
814,NA
815,NA
816,NA
817,NA
818,NA
819,10511
820,NA
821,NA
822,NA
823,NA
824,NA
825,NA
826,NA
827,"11004, 5324, 10994"
828,NA
829,NA
830,53
831,NA
832,NA
833,NA
834,NA
835,NA
836,NA
837,NA
838,NA
839,"10567, 11014, 11218"
840,NA
841,NA
842,NA
843,NA
844,NA
845,NA
846,NA
847,NA
848,NA
849,NA
850,NA
851,NA
852,NA
853,NA
854,NA
855,NA
856,NA
857,NA
858,"12318, 399, 11002, 11045, 10511, 11003, 11004, 11028, 11451"
859,NA
860,NA
861,"95, 29, 858, 10511, 10561"
862,NA
863,"5035, 11054"
865,"10646, 11044"
866,NA
867,NA
868,NA
869,"11528, 11018, 5035, 15408"
870,NA
871,"383, 11002, 11058, 11059"
872,"11090, 11561, 584"
873,NA
874,NA
880,"10511, 11206, 10561, 11501, 18689, 10650, 19022"
881,NA
882,NA
883,NA
884,NA
896,NA
897,NA
898,NA
899,NA
900,NA
901,NA
902,NA
903,NA
904,NA
905,NA
906,912
907,NA
908,NA
909,NA
910,NA
911,NA
912,"18024, 11513, 12463, 11031, 11013, 11317, 10844, 11368, 11049, 11005, 11291"
913,NA
914,NA
915,NA
916,NA
917,NA
918,NA
919,"11103, 11048"
920,NA
921,NA
922,NA
923,NA
924,NA
925,NA
926,NA
927,NA
928,NA
929,"19007, 10958, 11120"
930,"11090, 10936, 10616, 11107, 10653, 11070"
931,NA
932,"11420, 11197, 11442"
933,NA
934,NA
935,NA
936,NA
937,NA
938,NA
939,NA
940,947
941,NA
942,NA
943,NA
944,NA
945,947
946,NA
947,"18548, 11213"
948,NA
949,NA
950,NA
955,"11196, 19113, 11016, 14339"
956,NA
957,NA
959,NA
960,NA
961,53
962,NA
963,NA
964,NA
965,NA
966,NA
967,NA
968,NA
969,NA
970,NA
971,NA
972,NA
973,NA
974,NA
975,NA
976,NA
977,NA
978,979
979,NA
981,NA
982,NA
983,NA
984,NA
985,NA
986,NA
987,NA
988,NA
989,"10602, 10979, 11011, 10511"
990,NA
991,NA
992,NA
993,NA
994,"11002, 11029"
995,NA
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,NA
1002,NA
1003,NA
1004,NA
1005,NA
1006,NA
1007,NA
1008,NA
1009,NA
1010,NA
1011,NA
1012,NA
1013,NA
1014,NA
1015,NA
1016,NA
1017,NA
1018,NA
1019,NA
1020,NA
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,NA
1034,NA
1035,NA
1036,NA
1037,NA
1038,NA
1039,NA
1040,"1125, 579, 12201, 11898, 11503, 12780, 11334"
1041,NA
1042,NA
1043,NA
1044,NA
1045,NA
1046,NA
1047,NA
1048,"17329, 13543, 16611, 12190, 34, 1131, 1134, 11153, 19822, 16595"
1049,NA
1050,NA
1051,NA
1052,NA
1053,NA
1054,NA
1055,NA
1056,NA
1057,NA
1058,NA
1059,NA
1060,NA
1061,NA
1062,NA
1063,NA
1064,NA
1065,NA
1066,NA
1067,NA
1068,NA
1069,NA
1070,NA
1071,NA
1072,NA
1073,NA
1074,NA
1075,NA
1076,NA
1077,NA
1078,NA
1079,NA
1080,NA
1081,NA
1082,NA
1083,NA
1084,NA
1085,NA
1086,NA
1087,NA
1088,NA
1089,NA
1090,NA
1091,NA
1092,NA
1093,NA
1094,NA
1095,NA
1096,NA
1097,NA
1098,NA
1099,NA
1100,NA
1101,NA
1102,NA
1103,NA
1105,NA
1106,NA
1107,NA
1108,NA
1109,NA
1110,NA
1111,NA
1112,NA
1113,NA
1114,NA
1115,NA
1116,NA
1117,NA
1118,NA
1119,NA
1120,NA
1121,NA
1122,NA
1123,NA
1124,NA
1125,NA
1126,NA
1127,NA
1128,NA
1129,NA
1131,"11519, 1133, 1134, 11197, 11013, 11063, 12203, 11258"
1132,"1133, 1134, 11013, 11519"
1133,"11231, 11537, 10606, 11230, 11107, 20500, 23538, 11207"
1134,"21954, 405, 11013, 11063, 10690"
1135,NA
1136,NA
1137,NA
1149,NA
1150,NA
1151,NA
1152,NA
1153,NA
1154,NA
1155,19957
1157,NA
1159,NA
1190,NA
1191,NA
1200,NA
1201,NA
1202,NA
1203,NA
1204,NA
1205,11219
1206,"1209, 11239, 16032, 12542"
1207,NA
1208,NA
1209,"11239, 10601"
1210,11006
1211,"11667, 18460"
1212,"11172, 10601"
1213,NA
1214,NA
1215,NA
1216,NA
1217,NA
1218,NA
1219,"11046, 12739, 11213"
1220,"11153, 12060"
1221,"11151, 12246, 15194"
1222,NA
1223,NA
1225,"11412, 16050, 10905, 11410"
1226,NA
1227,NA
1228,NA
1230,NA
1231,NA
1232,NA
1233,NA
1234,"11153, 17716, 11532, 11021"
1235,NA
1236,NA
1237,11185
1238,"21817, 11006, 11858, 10933, 11222, 11239, 11229, 10885, 11028, 20441"
1239,NA
1240,NA
1241,NA
1242,NA
1243,NA
1244,NA
1245,NA
1246,NA
1247,NA
1249,1220
1250,NA
1251,NA
1252,NA
1253,NA
1254,NA
1255,NA
1257,NA
1258,NA
1259,"1258, 11219, 10633"
1261,"11542, 11554, 12338"
1262,NA
1263,NA
1264,NA
1265,NA
1266,NA
1267,NA
1268,1238
1269,NA
1270,NA
1271,NA
1272,NA
1273,NA
1274,NA
1280,NA
1281,NA
1282,NA
1283,NA
1284,NA
1285,NA
1286,NA
1287,NA
1288,NA
1289,NA
1290,"1708, 1719, 1799"
1292,NA
1293,"34, 12920, 11028"
1294,NA
1295,4035
1296,NA
1297,NA
1298,12407
1299,NA
1313,NA
1314,"11861, 11864, 11023"
1315,NA
1316,NA
1317,NA
1318,NA
1319,1321
1320,NA
1321,"11836, 11222"
1322,NA
1323,NA
1325,NA
1326,"639, 11861, 12749, 11894"
1327,NA
1330,NA
1331,"11166, 11281, 10711, 10735, 11456, 11047"
1333,NA
1334,NA
1335,19
1336,NA
1338,NA
1339,NA
1340,NA
1341,NA
1350,NA
1351,NA
1352,NA
1353,NA
1354,NA
1355,NA
1356,NA
1357,NA
1358,NA
1359,NA
1360,19
1361,NA
1362,NA
1363,NA
1364,NA
1365,NA
1370,NA
1371,NA
1372,NA
1373,NA
1374,NA
1375,NA
1376,NA
1377,NA
1390,NA
1391,NA
1392,NA
1393,NA
1394,NA
1399,34
1400,NA
1401,NA
1402,NA
1403,NA
1405,NA
1426,NA
1427,NA
1430,NA
1431,NA
1435,NA
1436,NA
1450,NA
1451,NA
1452,NA
1453,NA
1454,NA
1455,"13676, 16049, 10867, 10870, 17841, 11028, 13273"
1456,NA
1457,"34, 10511, 1544, 11697, 19961"
1458,NA
1459,NA
1460,NA
1461,"12495, 18342, 11517, 11013, 19337"
1462,"11689, 11517"
1463,NA
1464,NA
1465,NA
1466,NA
1467,NA
1468,NA
1470,NA
1471,NA
1472,NA
1473,NA
1474,NA
1475,NA
1476,NA
1477,NA
1478,NA
1480,NA
1500,NA
1501,NA
1502,NA
1503,12125
1504,NA
1505,NA
1506,NA
1507,NA
1508,NA
1509,NA
1510,NA
1511,NA
1512,NA
1549,NA
1550,NA
1551,NA
1552,NA
1553,NA
1554,NA
1555,NA
1556,NA
1557,NA
1558,NA
1559,NA
1560,NA
1561,NA
1562,NA
1563,NA
1564,"1546, 12422"
1565,NA
1566,NA
1567,NA
1568,NA
1570,NA
1571,NA
1572,NA
1573,NA
1574,NA
1575,NA
1576,NA
1577,NA
1578,NA
1579,NA
1600,"11005, 11020"
1601,NA
1602,NA
1603,NA
1604,NA
1605,NA
1609,NA
1610,NA
1611,NA
1612,NA
1615,"10511, 15590"
1650,NA
1651,NA
1652,NA
1653,NA
1655,NA
1656,NA
1657,NA
1658,NA
1659,NA
1660,NA
1661,NA
1662,NA
1663,NA
1664,NA
1670,NA
1671,NA
1672,NA
1673,NA
1674,NA
1675,NA
1676,NA
1677,NA
1678,NA
1679,NA
1680,NA
1681,NA
1682,NA
1683,NA
1684,NA
1685,NA
1686,NA
1687,NA
1688,NA
1689,NA
1690,NA
1691,NA
1692,NA
1696,NA
1700,NA
